	Classifier score
ENST00000389989_part_3	0.758909463937874
ENST00000344001_part_2	0.7492383890909381
ENST00000389989_part_2	0.7029319674715861
ENST00000389989_part_4	0.5791375407480536
ENST00000342854_part_1	0.5540954072361479
ENST00000344001_part_5	0.5325206775657407
ENST00000342854_part_3	0.5170944721720486
ENST00000389989_part_1	0.4668278186373902
ENST00000344001_part_1	0.42859008206124183
ENST00000344001_part_4	0.4253469092124523
ENST00000342854_part_5	0.39510134250740336
ENST00000342854_part_6	0.3942059293591245
